foreign,foreigncountry_cleaned,shpmtyear,country_name,country_iso3,cleaned_name,cleaned_ID,cleaned_foreign
Ajmal Roman,Afghanistan,2019.0,Afghanistan,AFG,Ajmal Roman,AFG_16,Ajmal Roman
Sharif Rezwan,Afghanistan,2019.0,Afghanistan,AFG,Sharif Rezwan,AFG_17,Sharif Rezwan
Sharif Rezwan,Afghanistan,2020.0,Afghanistan,AFG,Sharif Rezwan,AFG_17,Sharif Rezwan
Aman Mohmand,Afghanistan,2020.0,Afghanistan,AFG,Aman Mohmand,AFG_18,Aman Mohmand
Aman Mohmand,Afghanistan,2019.0,Afghanistan,AFG,Aman Mohmand,AFG_18,Aman Mohmand
Sahar Nawab,Afghanistan,2019.0,Afghanistan,AFG,Sahar Nawab,AFG_19,Sahar Nawab
Sahar Nawab,Afghanistan,2020.0,Afghanistan,AFG,Sahar Nawab,AFG_19,Sahar Nawab
Ijaz Shakeel,Afghanistan,2020.0,Afghanistan,AFG,Ijaz Shakeel,AFG_2,Ijaz Shakeel
Ijaz Shakeel,Afghanistan,2019.0,Afghanistan,AFG,Ijaz Shakeel,AFG_2,Ijaz Shakeel
Sarwari Kaghaz,Afghanistan,2019.0,Afghanistan,AFG,Sarwari Kaghaz,AFG_20,Sarwari Kaghaz
Sarwari Kaghaz,Afghanistan,2020.0,Afghanistan,AFG,Sarwari Kaghaz,AFG_20,Sarwari Kaghaz
Harris Ikhlas,Afghanistan,2019.0,Afghanistan,AFG,Harris Ikhlas,AFG_21,Harris Ikhlas
Harris Ikhlas,Afghanistan,2020.0,Afghanistan,AFG,Harris Ikhlas,AFG_21,Harris Ikhlas
Gul Ahmad Rekazada,Afghanistan,2019.0,Afghanistan,AFG,Gul Ahmad Rekazada,AFG_22,Gul Ahmad Rekazada
Gul Ahmad Rekazada,Afghanistan,2020.0,Afghanistan,AFG,Gul Ahmad Rekazada,AFG_22,Gul Ahmad Rekazada
Zaheraziz Ltd.,Afghanistan,2019.0,Afghanistan,AFG,Zaheraziz,AFG_23,Zaheraziz
Zaheraziz Ltd.,Afghanistan,2020.0,Afghanistan,AFG,Zaheraziz,AFG_23,Zaheraziz
Omar Zoy,Afghanistan,2019.0,Afghanistan,AFG,Omar Zoy,AFG_24,Omar Zoy
Omar Zoy,Afghanistan,2020.0,Afghanistan,AFG,Omar Zoy,AFG_24,Omar Zoy
The Country Director United Nations,Afghanistan,2020.0,Afghanistan,AFG,The Country Director United Nations,AFG_25,The Country Director United Nations
The Country Director United Nations,Afghanistan,2019.0,Afghanistan,AFG,The Country Director United Nations,AFG_25,The Country Director United Nations
Sediq Amin Ali Ltd.,Afghanistan,2020.0,Afghanistan,AFG,Sediq Amin Ali,AFG_26,Sediq Amin Ali
M Aseef A Llah,Afghanistan,2019.0,Afghanistan,AFG,M Aseef A Llah,AFG_27,M Aseef A Llah
Faqir Wahab Zain Bashir Bashir Wahab Lt,Afghanistan,2019.0,Afghanistan,AFG,Faqir Wahab Zain Bashir Bashir Wahab Lt,AFG_28,Faqir Wahab Zain Bashir Bashir Wahab Lt
Faqir Wahab Zain Bashir Bashir Wahab Lt,Afghanistan,2020.0,Afghanistan,AFG,Faqir Wahab Zain Bashir Bashir Wahab Lt,AFG_28,Faqir Wahab Zain Bashir Bashir Wahab Lt
Danish Printing Press,Afghanistan,2020.0,Afghanistan,AFG,Danish Printing Press,AFG_29,Danish Printing Press
Danish Printing Press,Afghanistan,2019.0,Afghanistan,AFG,Danish Printing Press,AFG_29,Danish Printing Press
Shahed Hakim,Afghanistan,2020.0,Afghanistan,AFG,Shahed Hakim,AFG_3,Shahed Hakim
Shahed Hakim,Afghanistan,2019.0,Afghanistan,AFG,Shahed Hakim,AFG_3,Shahed Hakim
Moiz Shabir,Afghanistan,2020.0,Afghanistan,AFG,Moiz Shabir,AFG_30,Moiz Shabir
Raz Sultan Ltd.,Afghanistan,2020.0,Afghanistan,AFG,Raz Sultan,AFG_31,Raz Sultan
Raz Sultan Ltd.,Afghanistan,2019.0,Afghanistan,AFG,Raz Sultan,AFG_31,Raz Sultan
Shirkat Aziz Polad Ltd.,Afghanistan,2020.0,Afghanistan,AFG,Shirkat Aziz Polad,AFG_32,Shirkat Aziz Polad
Shirkat Aziz Polad Ltd.,Afghanistan,2019.0,Afghanistan,AFG,Shirkat Aziz Polad,AFG_32,Shirkat Aziz Polad
Ahmad Jamalzai Washing Material Production Co.,Afghanistan,2020.0,Afghanistan,AFG,Ahmad Jamalzai Washing Material Production Co,AFG_33,Ahmad Jamalzai Washing Material Production Co
Ahmad Jamalzai Washing Material Production Co.,Afghanistan,2019.0,Afghanistan,AFG,Ahmad Jamalzai Washing Material Production Co,AFG_33,Ahmad Jamalzai Washing Material Production Co
Shahid,Afghanistan,2020.0,Afghanistan,AFG,Shahid,AFG_34,Shahid
